rollno,name,fname,course,city,dob,s1,s2,s3,s4,s5
31,Hamza,Hamza,AI,,1967-09-08,38,10,61,6,1
32,Hamza,Hamza,ML,LHR,1971-04-28,42,28,17,45,10
33,Asif,Junaid,Blockchain,LHR,1983-07-16,53,74,70,25,56
34,Junaid,Hamza,ML,KHI,2011-10-16,87,34,12,48,13
35,Junaid,Ali,Blockchain,KHI,2006-04-21,20,34,67,6,36
36,Asif,Ali,ML,LHR,1999-01-03,25,35,62,27,94
37,Hamza,Ali,AI,LHR,1965-07-28,17,53,3,32,40
38,Ali,Asif,DS,ISL,1963-10-22,80,63,3,6,17
39,Ali,Asif,DS,KHI,2001-10-17,28,72,13,50,64
40,Ali,Ali,ML,KHI,1965-01-30,46,72,52,16,76
41,Ali,Asif,ML,ISL,1986-03-20,19,88,69,40,18
42,Asif,Ali,DS,,1973-11-24,76,4,27,22,95
43,Junaid,Hamza,DS,KHI,1994-04-25,98,35,22,18,46
44,Junaid,Hamza,AI,KHI,1995-04-01,81,96,82,68,90
45,Junaid,Asif,Blockchain,ISL,1997-04-02,36,10,5,14,17
46,Ali,Ali,Blockchain,,1992-10-04,10,30,31,76,28
47,Asif,Hamza,ML,ISL,1994-06-25,7,44,83,73,60
48,Asif,Hamza,DS,KHI,1972-07-11,90,73,29,99,1
49,Junaid,Hamza,ML,KHI,2014-05-30,48,17,93,63,79
50,Ali,Hamza,AI,ISL,2001-10-24,48,36,72,11,90
51,Asif,Junaid,ML,ISL,1967-06-02,78,58,12,11,74
52,Hamza,Asif,DS,KHI,1989-06-13,71,22,86,43,73
53,Asif,Junaid,AI,ISL,2003-06-08,7,25,54,93,48
54,Asif,Ali,DS,,1957-02-01,3,65,78,82,51
55,Asif,Asif,Blockchain,,1950-06-27,16,40,58,68,22
56,Asif,Asif,DS,KHI,1979-11-07,48,33,20,59,77
57,Ali,Junaid,AI,KHI,2003-02-24,40,63,76,79,61
58,Hamza,Hamza,ML,LHR,1986-09-07,82,67,89,49,50
59,Junaid,Junaid,AI,LHR,1975-03-17,70,32,54,4,56
60,Hamza,Ali,Blockchain,KHI,1975-11-27,47,99,13,5,92
61,Hamza,Ali,ML,,1996-02-13,99,1,74,75,30
62,Hamza,Ali,Blockchain,,1997-04-26,23,73,23,48,10
63,Ali,Asif,DS,LHR,1964-07-17,58,70,28,83,39
64,Asif,Asif,DS,ISL,1994-03-05,74,72,17,94,95
65,Asif,Junaid,ML,LHR,1966-07-23,10,57,39,35,62
66,Junaid,Ali,AI,,1964-05-06,59,74,84,15,29
67,Junaid,Junaid,Blockchain,ISL,1977-11-22,80,25,58,40,32
68,Junaid,Junaid,ML,KHI,1981-02-25,29,27,96,31,67
69,Junaid,Hamza,DS,LHR,1990-10-18,32,37,57,91,34
70,Ali,Junaid,ML,LHR,2004-09-23,47,58,91,30,88
71,Hamza,Hamza,AI,ISL,1950-04-30,55,15,90,10,97
72,Junaid,Hamza,ML,,1977-08-18,33,24,49,86,58
73,Asif,Ali,AI,ISL,1989-03-19,6,42,70,24,32
74,Junaid,Junaid,AI,KHI,2006-07-06,25,5,78,98,82
75,Hamza,Ali,AI,,1971-11-19,34,44,54,82,6
76,Junaid,Junaid,AI,KHI,2003-06-24,25,10,7,8,81
77,Junaid,Ali,ML,LHR,1983-06-14,60,63,11,22,96
78,Junaid,Junaid,AI,ISL,1964-03-03,17,63,32,68,83
79,Asif,Asif,DS,ISL,2003-09-04,69,58,62,44,20
80,Ali,Asif,DS,KHI,1961-02-03,73,78,52,92,37
81,Junaid,Ali,ML,LHR,1983-10-05,51,40,44,64,5
82,Ali,Hamza,DS,LHR,1952-10-09,9,67,45,81,6
83,Hamza,Junaid,Blockchain,KHI,1989-11-07,33,36,80,92,19
84,Hamza,Asif,Blockchain,KHI,2014-01-01,64,32,60,78,75
85,Asif,Asif,DS,LHR,1994-10-02,13,17,45,22,35
86,Asif,Hamza,Blockchain,LHR,2007-04-15,34,94,30,30,48
87,Asif,Junaid,ML,KHI,1965-08-24,81,65,73,18,90
88,Junaid,Ali,ML,ISL,1952-03-09,53,80,57,71,97
89,Junaid,Junaid,DS,KHI,1977-07-21,52,76,92,16,25
90,Junaid,Ali,AI,LHR,1977-08-24,26,31,97,30,62
91,Asif,Asif,AI,,1959-02-03,55,10,49,2,93
92,Ali,Hamza,Blockchain,KHI,1960-05-12,38,65,36,64,46
93,Hamza,Ali,ML,KHI,1963-07-03,75,41,89,79,44
94,Asif,Junaid,DS,KHI,1989-11-25,77,13,16,88,38
95,Hamza,Junaid,ML,LHR,1950-11-07,74,33,84,85,29
96,Asif,Asif,AI,LHR,2014-02-23,45,66,19,21,27
97,Junaid,Ali,ML,LHR,1951-10-05,91,68,83,82,94
98,Junaid,Asif,ML,LHR,2008-10-04,51,78,23,74,42
99,Junaid,Asif,DS,ISL,2007-07-05,49,22,17,60,18
100,Asif,Ali,AI,KHI,1980-08-24,89,59,92,68,53
101,Asif,Ali,ML,,2009-07-26,65,10,26,8,40
102,Hamza,Junaid,DS,LHR,2000-08-22,39,43,32,66,90
103,Hamza,Junaid,ML,LHR,1954-09-28,32,32,60,47,30
104,Asif,Ali,DS,KHI,2014-07-20,25,64,72,38,18
105,Junaid,Ali,DS,,1997-11-08,17,74,79,74,51
106,Hamza,Junaid,DS,LHR,1973-10-28,82,80,82,51,52
107,Hamza,Asif,AI,KHI,2014-02-13,48,93,72,45,47
108,Junaid,Hamza,Blockchain,,2010-02-08,32,90,70,48,34
109,Asif,Ali,DS,KHI,2007-10-29,94,34,26,52,48
110,Asif,Junaid,Blockchain,ISL,1958-09-18,19,38,1,3,58
111,Hamza,Junaid,Blockchain,LHR,1955-09-21,66,46,27,60,18
112,Asif,Asif,Blockchain,ISL,1978-02-19,26,1,37,1,85
113,Ali,Junaid,AI,,2010-04-02,51,37,66,48,56
114,Hamza,Asif,AI,,1975-09-21,41,12,12,3,48
115,Asif,Junaid,Blockchain,LHR,1986-05-24,93,20,16,13,94
116,Ali,Asif,AI,ISL,1952-08-07,88,80,26,24,33
117,Hamza,Hamza,AI,,1980-07-12,8,41,78,8,58
118,Asif,Hamza,AI,,1982-05-28,87,16,33,90,1
119,Junaid,Asif,ML,,1991-03-06,1,84,26,93,25
120,Ali,Asif,ML,KHI,1963-05-06,3,14,75,36,83
121,Hamza,Hamza,ML,KHI,1958-06-26,47,25,99,26,97
122,Asif,Hamza,AI,,1957-02-25,55,99,86,88,6
123,Junaid,Hamza,DS,LHR,1962-01-28,78,32,48,96,54
124,Asif,Ali,ML,KHI,1989-01-13,62,82,78,85,26
125,Asif,Asif,AI,LHR,1966-07-28,14,92,79,91,46
126,Ali,Ali,AI,KHI,2012-06-03,22,14,82,43,91
127,Hamza,Hamza,DS,LHR,1954-02-11,48,55,73,49,99
128,Asif,Hamza,AI,KHI,1953-08-14,89,37,76,56,31
129,Junaid,Hamza,AI,KHI,1997-10-03,16,58,16,60,15
130,Junaid,Ali,ML,,1959-09-04,72,96,59,13,81
131,Ali,Ali,Blockchain,ISL,1976-02-26,57,75,55,82,42
132,Hamza,Junaid,Blockchain,LHR,1954-02-02,12,35,8,26,25
133,Ali,Asif,Blockchain,KHI,2011-03-26,64,54,68,52,47
134,Junaid,Ali,Blockchain,LHR,1972-01-02,36,37,57,96,51
135,Asif,Ali,ML,LHR,1993-07-05,90,50,37,57,8
136,Hamza,Asif,ML,LHR,1950-05-14,28,27,29,29,95
137,Ali,Junaid,Blockchain,LHR,1971-01-08,97,79,49,93,3
138,Hamza,Junaid,DS,ISL,2007-10-05,60,86,76,26,99
139,Asif,Junaid,ML,,2000-09-30,1,51,95,60,91
140,Hamza,Hamza,DS,,1970-11-16,5,90,54,2,12
141,Ali,Ali,ML,KHI,1955-09-17,90,68,29,77,27
142,Hamza,Ali,DS,ISL,2002-08-01,29,79,55,76,57
143,Asif,Asif,AI,ISL,2006-02-12,58,55,36,9,81
144,Asif,Asif,AI,KHI,1975-11-27,38,22,61,63,46
145,Junaid,Hamza,DS,ISL,1993-04-13,52,48,1,13,87
146,Asif,Junaid,ML,,1952-04-03,82,48,72,68,97
147,Asif,Hamza,ML,,1966-08-03,55,93,20,27,41
148,Hamza,Hamza,ML,ISL,1986-06-06,66,7,36,33,62
149,Ali,Hamza,Blockchain,ISL,1959-03-18,8,22,18,31,53
150,Ali,Ali,ML,LHR,1952-06-27,31,90,39,49,9
151,Ali,Ali,DS,KHI,1951-04-30,28,86,11,29,16
152,Junaid,Junaid,ML,LHR,1972-06-27,46,39,85,29,24
153,Junaid,Ali,Blockchain,ISL,1977-10-23,53,43,75,91,41
154,Junaid,Hamza,ML,,1984-02-09,21,98,19,89,81
155,Junaid,Asif,Blockchain,KHI,1987-11-06,6,29,5,98,31
156,Ali,Hamza,Blockchain,ISL,1968-08-07,31,73,34,54,25
157,Hamza,Hamza,DS,,2006-10-20,65,94,66,76,42
158,Junaid,Junaid,AI,,1989-03-04,41,25,55,80,62
159,Asif,Junaid,AI,LHR,1984-05-17,34,84,16,2,48
160,Junaid,Hamza,ML,ISL,1981-02-18,84,4,17,17,33
161,Hamza,Junaid,AI,ISL,1956-07-10,43,59,34,43,92
162,Junaid,Asif,Blockchain,KHI,1972-01-28,32,34,68,66,92
163,Asif,Asif,Blockchain,LHR,1996-04-04,22,13,78,98,42
164,Asif,Asif,AI,LHR,1982-05-26,58,34,99,35,56
165,Asif,Asif,ML,KHI,1994-02-02,86,17,29,88,86
166,Hamza,Hamza,DS,LHR,1963-09-03,2,60,81,6,35
167,Junaid,Ali,AI,,1977-08-07,64,4,20,99,20
168,Hamza,Hamza,DS,,1993-04-26,47,2,27,98,24
169,Junaid,Ali,Blockchain,KHI,1987-08-18,38,81,4,68,99
170,Junaid,Hamza,Blockchain,LHR,1951-08-30,67,23,73,58,68
171,Junaid,Asif,Blockchain,ISL,1967-01-03,42,43,30,52,42
172,Ali,Hamza,ML,KHI,1959-11-09,65,81,81,31,6
173,Asif,Asif,DS,KHI,2001-05-23,51,2,74,92,98
174,Hamza,Hamza,DS,,1962-04-28,11,80,28,14,85
175,Junaid,Asif,Blockchain,KHI,1986-07-03,33,8,44,38,76
176,Hamza,Hamza,DS,ISL,1994-02-22,23,31,94,26,62
177,Junaid,Asif,AI,LHR,1994-10-19,61,48,42,4,41
178,Junaid,Hamza,DS,KHI,1987-01-25,77,40,7,50,49
179,Hamza,Hamza,DS,KHI,1991-03-05,50,83,46,98,54
180,Asif,Ali,Blockchain,,1959-02-08,22,44,61,39,78
181,Ali,Hamza,ML,ISL,1968-11-11,13,21,3,21,81
182,Asif,Ali,Blockchain,ISL,1987-08-23,21,83,27,82,17
183,Junaid,Ali,AI,ISL,2005-06-22,17,50,36,69,14
184,Ali,Hamza,ML,KHI,1996-05-19,85,93,12,54,54
185,Junaid,Junaid,AI,ISL,1953-08-12,64,84,97,37,21
186,Ali,Asif,Blockchain,ISL,1979-01-08,50,77,13,46,82
187,Hamza,Junaid,DS,,2012-10-17,27,85,94,67,12
188,Junaid,Ali,DS,,1981-05-05,98,29,42,62,28
189,Hamza,Junaid,ML,,1994-09-24,10,5,70,46,93
190,Hamza,Ali,DS,,1956-07-29,57,70,85,45,34
191,Asif,Ali,ML,ISL,1951-07-23,50,37,89,16,65
192,Junaid,Hamza,ML,,1968-05-23,68,7,83,45,64
193,Hamza,Asif,DS,LHR,1979-11-09,13,55,91,55,83
194,Hamza,Junaid,AI,,1996-07-13,99,73,66,6,60
195,Hamza,Junaid,AI,ISL,1965-01-23,42,97,4,7,5
196,Asif,Junaid,AI,LHR,1988-09-26,1,54,14,29,4
197,Asif,Ali,ML,ISL,2006-10-08,93,46,31,17,39
198,Asif,Ali,ML,KHI,1987-11-20,16,7,62,69,51
199,Asif,Ali,AI,,1981-05-22,66,58,17,86,9
200,Ali,Asif,DS,,1970-03-14,5,96,61,65,10
201,Asif,Ali,DS,LHR,1978-05-27,92,60,40,91,55
202,Junaid,Ali,ML,KHI,2012-07-13,91,28,19,64,91
203,Asif,Ali,Blockchain,,1978-10-06,96,78,54,68,37
204,Ali,Junaid,Blockchain,KHI,1974-07-08,50,76,58,85,84
205,Ali,Junaid,Blockchain,LHR,1996-07-15,17,48,23,44,20
206,Asif,Asif,AI,,1967-05-11,54,69,38,95,91
207,Asif,Ali,ML,,2012-05-24,97,50,25,9,50
208,Junaid,Asif,DS,LHR,1961-07-06,5,91,24,82,76
209,Hamza,Asif,ML,ISL,1969-04-01,49,74,68,6,28
210,Junaid,Hamza,ML,,1951-09-29,67,78,19,19,15
211,Ali,Junaid,ML,LHR,2013-08-21,27,60,22,20,27
212,Hamza,Junaid,Blockchain,,1972-09-14,66,10,65,84,84
213,Junaid,Ali,Blockchain,LHR,2012-09-11,91,3,89,47,39
214,Asif,Junaid,Blockchain,ISL,1988-04-14,52,57,34,16,35
215,Junaid,Ali,AI,ISL,1957-08-11,89,16,58,56,9
216,Asif,Asif,ML,KHI,1973-04-04,63,44,30,73,38
217,Asif,Asif,ML,KHI,1978-02-20,45,4,24,16,83
218,Hamza,Ali,Blockchain,ISL,1983-05-30,95,94,50,84,76
219,Ali,Asif,ML,KHI,2003-03-13,54,35,19,89,68
220,Hamza,Asif,ML,,1960-07-06,41,46,40,98,3
221,Junaid,Ali,DS,KHI,2011-09-30,82,22,92,58,89
222,Asif,Junaid,DS,LHR,1989-07-08,36,28,44,51,91
223,Asif,Asif,DS,KHI,1980-02-26,40,86,54,73,86
224,Asif,Ali,DS,KHI,1977-05-23,84,10,97,97,38
225,Hamza,Asif,ML,KHI,1992-07-30,7,94,42,15,90
226,Hamza,Hamza,ML,KHI,1965-03-30,67,28,4,24,1
227,Ali,Hamza,ML,,1950-10-09,21,90,59,3,18
228,Hamza,Ali,Blockchain,,2005-03-02,89,93,36,47,48
229,Hamza,Hamza,AI,KHI,1957-05-01,62,96,39,7,72
230,Asif,Ali,DS,ISL,1958-02-15,89,30,89,27,90
231,Hamza,Junaid,Blockchain,KHI,1988-06-28,96,17,49,35,33
232,Asif,Asif,AI,KHI,2010-08-08,30,99,53,38,59
233,Asif,Junaid,AI,KHI,2000-06-27,20,20,23,98,61
234,Junaid,Junaid,DS,LHR,1997-02-21,73,37,94,36,22
235,Ali,Junaid,DS,LHR,1982-03-07,90,86,65,23,18
236,Ali,Ali,DS,ISL,1991-08-01,67,93,18,52,2
237,Ali,Ali,Blockchain,KHI,1978-07-11,10,31,7,51,97
238,Hamza,Junaid,AI,KHI,2004-02-07,38,77,68,88,54
239,Asif,Hamza,Blockchain,KHI,1977-04-05,52,72,56,69,85
240,Ali,Junaid,ML,KHI,2008-06-19,32,69,29,7,46
241,Hamza,Junaid,Blockchain,LHR,1982-07-17,67,12,17,58,34
242,Ali,Asif,ML,,1974-09-10,29,45,7,57,62
243,Junaid,Ali,Blockchain,ISL,1973-03-13,25,10,26,32,74
244,Ali,Asif,DS,KHI,1993-03-25,36,1,29,77,37
245,Asif,Junaid,ML,KHI,1956-04-16,30,65,42,60,25
246,Hamza,Junaid,DS,KHI,1961-07-09,35,23,62,74,50
247,Hamza,Hamza,DS,,1990-05-08,37,43,57,33,75
248,Ali,Hamza,DS,ISL,1969-10-27,41,76,5,29,44
249,Asif,Junaid,AI,,1991-11-21,4,47,62,39,1
250,Junaid,Ali,ML,ISL,1998-02-12,6,58,55,62,61
251,Ali,Asif,AI,KHI,1971-08-17,46,94,51,49,28
252,Ali,Ali,AI,LHR,2009-07-23,94,46,68,41,58
253,Asif,Hamza,AI,LHR,1966-11-23,60,90,57,54,47
254,Ali,Asif,ML,ISL,1984-06-11,6,67,69,80,60
255,Junaid,Junaid,AI,KHI,2003-10-04,76,78,1,95,57
256,Ali,Junaid,ML,,1994-11-24,13,5,45,42,82
257,Ali,Hamza,Blockchain,ISL,1964-07-25,5,46,30,26,41
258,Asif,Hamza,DS,,1992-06-02,75,32,15,28,5
259,Asif,Asif,Blockchain,,1979-05-05,18,63,2,71,57
260,Ali,Hamza,AI,KHI,2010-05-21,57,19,25,90,99
261,Ali,Junaid,DS,LHR,1997-06-30,37,89,62,66,86
262,Asif,Asif,AI,,1972-02-11,14,79,62,30,63
263,Ali,Ali,DS,,1993-01-02,73,46,88,8,89
264,Ali,Ali,AI,,1957-08-21,40,81,90,31,55
265,Hamza,Asif,ML,ISL,2000-08-18,32,48,67,18,54
266,Junaid,Asif,ML,KHI,1992-01-15,50,64,3,26,93
267,Asif,Junaid,DS,ISL,1998-01-26,19,10,79,45,65
268,Ali,Junaid,Blockchain,LHR,1957-07-28,92,15,25,95,26
269,Junaid,Asif,AI,ISL,1970-08-16,51,34,1,94,65
270,Ali,Ali,ML,LHR,2007-10-10,60,37,66,95,1
271,Asif,Junaid,ML,ISL,2006-06-10,63,45,15,87,71
272,Ali,Ali,Blockchain,ISL,1985-06-05,26,43,26,83,61
273,Asif,Junaid,DS,LHR,1957-01-05,90,19,26,61,32
274,Asif,Junaid,ML,,1959-09-17,8,52,25,76,39
275,Junaid,Junaid,DS,,1967-08-28,70,21,83,34,82
276,Ali,Ali,Blockchain,ISL,2005-02-01,99,2,51,1,27
277,Ali,Junaid,AI,LHR,1985-01-26,34,8,68,37,15
278,Junaid,Ali,AI,,1974-09-23,55,81,19,1,69
279,Asif,Junaid,ML,ISL,1981-06-26,94,87,67,69,16
280,Hamza,Ali,ML,,1980-11-18,87,64,37,27,42
281,Ali,Hamza,Blockchain,,1964-08-25,56,53,80,12,16
282,Ali,Asif,Blockchain,LHR,1974-01-10,42,61,59,64,85
283,Hamza,Asif,DS,ISL,1997-09-29,33,99,77,22,50
284,Ali,Junaid,ML,ISL,2005-07-11,41,26,31,27,65
285,Junaid,Asif,ML,LHR,1981-06-12,75,31,43,70,53
286,Ali,Junaid,DS,KHI,1952-03-28,77,89,27,87,64
287,Asif,Hamza,ML,KHI,1956-08-20,55,48,47,72,87
288,Hamza,Asif,Blockchain,ISL,1979-10-11,23,64,35,17,11
289,Ali,Hamza,Blockchain,ISL,1953-06-19,51,40,5,1,51
290,Hamza,Junaid,Blockchain,LHR,1972-11-16,17,63,86,25,27
291,Hamza,Hamza,AI,LHR,1987-01-13,68,16,37,87,35
292,Hamza,Ali,DS,KHI,1972-02-02,72,4,84,99,80
293,Asif,Asif,ML,KHI,2001-05-06,59,30,47,9,86
294,Ali,Hamza,Blockchain,ISL,1977-05-07,33,13,58,27,86
295,Ali,Asif,ML,ISL,2009-01-18,13,90,9,82,19
296,Hamza,Ali,DS,ISL,1980-11-12,33,78,62,9,5
297,Asif,Junaid,Blockchain,,1974-08-20,6,99,32,77,31
298,Asif,Junaid,Blockchain,,1980-09-04,35,39,68,73,21
299,Junaid,Junaid,Blockchain,KHI,2011-03-23,58,35,26,54,79
300,Ali,Hamza,ML,ISL,1971-03-06,60,51,51,49,75
301,Asif,Ali,ML,LHR,1989-05-14,17,8,62,43,41
302,Hamza,Junaid,DS,,1950-10-05,75,38,99,89,19
303,Hamza,Asif,ML,ISL,1983-08-18,20,38,85,60,45
304,Junaid,Ali,AI,LHR,1955-06-29,46,86,47,18,37
305,Junaid,Ali,AI,ISL,2003-10-27,7,89,25,86,65
306,Asif,Ali,AI,KHI,2000-01-15,25,54,37,65,18
307,Asif,Junaid,DS,,1970-04-12,39,35,8,92,87
308,Hamza,Ali,AI,KHI,1990-11-08,55,64,73,45,15
309,Ali,Asif,DS,KHI,1982-04-16,80,53,6,48,39
310,Asif,Hamza,AI,KHI,2012-08-20,74,90,24,30,76
311,Hamza,Hamza,DS,LHR,1981-04-17,2,8,23,25,56
312,Ali,Ali,DS,ISL,1957-07-27,67,88,96,15,22
313,Ali,Asif,Blockchain,LHR,1993-05-20,29,64,33,87,91
314,Junaid,Asif,Blockchain,ISL,2010-01-25,17,82,6,11,96
315,Hamza,Ali,AI,KHI,1993-06-16,60,71,34,35,53
316,Ali,Junaid,ML,,2012-08-05,45,53,68,2,30
317,Ali,Asif,AI,LHR,1990-09-15,44,25,32,56,69
318,Ali,Asif,ML,,1988-05-08,57,62,5,53,56
319,Asif,Junaid,ML,,2007-04-22,89,89,18,24,41
320,Junaid,Hamza,ML,LHR,1959-03-27,44,59,20,18,73
321,Asif,Junaid,ML,LHR,1972-05-09,71,18,11,54,92
322,Hamza,Junaid,ML,KHI,1955-02-08,3,51,8,39,71
323,Hamza,Ali,ML,KHI,2002-04-02,33,56,22,55,4
324,Hamza,Ali,ML,LHR,1970-03-20,1,91,65,44,24
325,Asif,Junaid,AI,ISL,2001-01-21,32,86,30,79,72
326,Ali,Ali,Blockchain,,1986-10-12,64,51,32,7,48
327,Ali,Junaid,DS,LHR,1969-01-10,76,62,19,40,80
328,Hamza,Ali,ML,LHR,1995-10-17,93,8,32,25,97
329,Hamza,Ali,Blockchain,LHR,2014-02-16,9,98,88,82,93
330,Ali,Asif,ML,ISL,1958-01-17,7,78,29,16,14
331,Ali,Ali,ML,KHI,2003-09-18,63,9,79,80,40
332,Ali,Junaid,Blockchain,ISL,1995-06-14,71,63,32,51,3
333,Hamza,Hamza,AI,LHR,1952-09-16,74,39,82,40,94
334,Ali,Junaid,ML,ISL,1970-02-03,17,81,92,95,90
335,Junaid,Junaid,ML,,1962-09-27,9,52,36,58,11
336,Junaid,Hamza,Blockchain,KHI,1950-08-12,97,56,43,81,32
337,Junaid,Ali,DS,,1959-11-25,60,35,25,94,84
338,Junaid,Ali,ML,LHR,1995-02-03,57,50,68,97,57
339,Asif,Ali,DS,KHI,1956-04-16,19,76,80,27,19
340,Asif,Junaid,ML,,1986-08-18,50,60,8,56,88
341,Junaid,Junaid,DS,LHR,1958-11-02,37,53,17,53,9
342,Asif,Hamza,ML,,1976-09-03,23,6,43,33,93
343,Ali,Hamza,DS,KHI,1951-04-23,30,17,33,70,57
344,Ali,Ali,Blockchain,ISL,1974-03-09,49,83,43,88,35
345,Junaid,Ali,AI,KHI,1982-04-24,67,24,21,58,92
346,Hamza,Junaid,DS,LHR,2001-09-14,69,51,77,55,73
347,Ali,Hamza,ML,ISL,2003-08-22,82,22,47,96,45
348,Hamza,Asif,DS,LHR,2012-08-21,25,9,95,8,40
349,Hamza,Junaid,DS,KHI,1967-05-13,35,5,62,58,46
350,Ali,Ali,AI,KHI,1988-10-04,17,2,23,93,90
351,Ali,Hamza,DS,ISL,2008-03-23,48,41,11,69,86
352,Junaid,Junaid,ML,LHR,2001-08-02,92,12,65,47,25
353,Junaid,Junaid,AI,KHI,2000-07-13,16,45,90,36,54
354,Junaid,Asif,AI,LHR,1964-09-08,22,54,55,19,70
355,Junaid,Hamza,AI,,1958-06-09,55,35,36,53,78
356,Asif,Asif,Blockchain,KHI,1961-08-07,94,76,45,7,90
357,Asif,Asif,DS,KHI,1986-04-12,34,15,86,70,93
358,Asif,Hamza,AI,ISL,1988-06-26,89,37,66,82,84
359,Hamza,Junaid,Blockchain,LHR,1967-07-26,6,47,97,53,49
360,Junaid,Ali,ML,ISL,2002-08-14,26,13,11,62,69
361,Asif,Junaid,Blockchain,LHR,1961-04-22,3,71,41,38,3
362,Junaid,Junaid,ML,ISL,2000-07-07,57,34,14,20,20
363,Hamza,Ali,ML,LHR,1962-05-11,27,65,10,99,92
364,Hamza,Ali,ML,LHR,1968-02-20,74,64,94,83,57
365,Hamza,Ali,ML,ISL,1992-01-30,36,77,25,67,78
366,Ali,Asif,AI,,1982-10-01,32,34,76,75,27
367,Ali,Asif,ML,,1983-09-24,99,10,58,89,17
368,Junaid,Hamza,AI,LHR,1990-02-10,61,87,76,90,92
369,Asif,Junaid,ML,KHI,1952-01-02,14,67,75,32,29
370,Ali,Hamza,ML,LHR,2008-06-23,24,31,30,91,72
371,Hamza,Asif,Blockchain,LHR,1958-07-16,62,96,98,71,11
372,Junaid,Junaid,AI,LHR,2007-02-24,10,66,95,67,26
373,Ali,Ali,Blockchain,,1965-07-14,44,80,70,81,26
374,Asif,Ali,ML,LHR,1986-05-04,11,27,63,88,68
375,Ali,Hamza,ML,KHI,1984-07-23,77,27,84,73,52
376,Ali,Ali,AI,KHI,1984-09-05,5,63,72,55,60
377,Junaid,Hamza,DS,ISL,1996-03-18,61,73,51,46,39
378,Ali,Hamza,DS,KHI,1966-06-13,39,98,21,46,52
379,Ali,Asif,AI,,2003-07-18,36,32,32,33,65
380,Hamza,Asif,AI,LHR,1989-06-24,8,80,64,29,47
381,Junaid,Ali,AI,ISL,2008-01-14,61,28,58,25,24
382,Hamza,Asif,DS,KHI,1980-11-11,91,3,96,94,41
383,Hamza,Ali,AI,KHI,1977-05-23,83,34,69,2,72
384,Hamza,Junaid,AI,LHR,2014-10-01,19,18,80,77,31
385,Hamza,Asif,Blockchain,ISL,2003-03-23,96,66,71,62,29
386,Ali,Ali,Blockchain,KHI,1968-08-24,2,31,33,31,36
387,Junaid,Asif,ML,ISL,1964-07-23,82,90,78,33,47
388,Ali,Hamza,ML,ISL,1989-05-01,78,28,2,49,3
389,Asif,Junaid,Blockchain,,1996-06-18,37,95,74,33,14
390,Junaid,Hamza,DS,KHI,1970-07-12,37,25,67,62,84
391,Hamza,Ali,Blockchain,ISL,1996-04-07,80,47,66,69,97
392,Hamza,Junaid,Blockchain,ISL,2004-06-15,64,53,99,70,79
393,Junaid,Junaid,Blockchain,LHR,1963-05-26,50,42,9,73,47
394,Hamza,Junaid,AI,LHR,1999-05-20,84,7,52,85,5
395,Asif,Ali,DS,ISL,2014-09-25,93,74,40,82,78
396,Junaid,Ali,AI,,1959-02-16,2,73,13,76,31
397,Ali,Asif,DS,,2002-07-07,50,8,92,75,26
398,Asif,Ali,Blockchain,KHI,2007-04-18,91,17,26,7,17
399,Ali,Junaid,ML,KHI,1960-11-23,76,90,82,18,83
